"","X1","X2","Y","M1","X1OBS","SET","PS","CCS","MARG","MARGMI","UI","SCI","SCIMI","MI","MIMI","MISSCOEF","MODEL"
"1",1.37095844714667,1.20096537559849,-2.43121493750279,0,1.37095844714667,"TRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M1"
"2",-0.564698171396089,1.04475108716773,-1.17553890190017,0,-0.564698171396089,"TRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M1"
"3",0.363128411337339,-1.00320864683985,2.88905972374362,0,0.363128411337339,"TRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M1"
"4",0.63286260496104,1.84848190167275,1.46178171827739,0,0.63286260496104,"TRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M1"
"5",0.404268323140999,-0.666773408757817,-0.718878345813861,0,0.404268323140999,"TRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M1"
"6",-0.106124516091484,0.105513812456069,-1.70775056386279,0,-0.106124516091484,"TRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M1"
"7",1.51152199743894,-0.422255881868856,1.01621006611964,0,1.51152199743894,"TRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M1"
"8",-0.0946590384130976,-0.122350171954971,-1.34258138315848,0,-0.0946590384130976,"TRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M1"
"9",2.01842371387704,0.188193034501498,0.990763839290305,0,2.01842371387704,"TRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M1"
"10",-0.062714099052421,0.119160957997006,-0.422866415028882,0,-0.062714099052421,"TRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M1"
"11",1.30486965422349,-0.0250925508674029,-0.231626460871093,0,1.30486965422349,"TRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M1"
"12",2.28664539270111,0.108072727942033,4.82663648183717,0,2.28664539270111,"TRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"M1"
